Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Goals
11-Dec,LaLiga,30,3/24/12,A,FC Barcelona,RCD Mallorca,Loss,CF,25,00:01:00,Direct free kick,NA,235
11-Dec,LaLiga,31,3/31/12,H,FC Barcelona,Athletic Bilbao,Win,CF,57,02:00:00,Penalty,NA,236
11-Dec,UEFA Champions League,Quarter-Finals,04-03-2012,H,FC Barcelona,AC Milan,Win,RW,11,01:00:00,Penalty,NA,237
11-Dec,UEFA Champions League,Quarter-Finals,04-03-2012,H,FC Barcelona,AC Milan,Win,RW,42,02:01:00,Penalty,NA,238
11-Dec,LaLiga,32,04-07-2012,A,FC Barcelona,Real Zaragoza,Loss,CF,39,01:02:00,Left-footed shot,Alexis Sanchez,239
11-Dec,LaLiga,32,04-07-2012,A,FC Barcelona,Real Zaragoza,Loss,CF,86,01:03:00,Penalty,NA,240
11-Dec,LaLiga,33,04-10-2012,H,FC Barcelona,Getafe CF,Win,CF,44,02:00:00,Left-footed shot,Andres Iniesta,241
11-Dec,LaLiga,34,4/14/12,A,FC Barcelona,Levante UD,Loss,CF,64,01:01:00,Left-footed shot,Alexis Sanchez,242
11-Dec,LaLiga,34,4/14/12,A,FC Barcelona,Levante UD,Loss,CF,73,01:02:00,Penalty,NA,243
11-Dec,LaLiga,36,4/29/12,A,FC Barcelona,Rayo Vallecano,Loss,CF,16,00:01:00,Left-footed shot,Pedro,244
11-Dec,LaLiga,36,4/29/12,A,FC Barcelona,Rayo Vallecano,Loss,CF,88,00:07:00,Left-footed shot,Pedro,245
11-Dec,LaLiga,20,05-02-2012,H,FC Barcelona,Malaga CF,Win,CF,34,02:01:00,Penalty,NA,246
11-Dec,LaLiga,20,05-02-2012,H,FC Barcelona,Malaga CF,Win,CF,60,03:01:00,Penalty,NA,247
11-Dec,LaLiga,20,05-02-2012,H,FC Barcelona,Malaga CF,Win,CF,63,04:01:00,Left-footed shot,Andres Iniesta,248
11-Dec,LaLiga,37,05-05-2012,H,FC Barcelona,RCD Espanyol Barcelona,Win,CF,11,01:00:00,Direct free kick,NA,249
11-Dec,LaLiga,37,05-05-2012,H,FC Barcelona,RCD Espanyol Barcelona,Win,CF,63,02:00:00,Penalty,NA,250
11-Dec,LaLiga,37,05-05-2012,H,FC Barcelona,RCD Espanyol Barcelona,Win,CF,73,03:00:00,Left-footed shot,Adriano,251
11-Dec,LaLiga,37,05-05-2012,H,FC Barcelona,RCD Espanyol Barcelona,Win,CF,78,04:00:00,Penalty,NA,252
11-Dec,Copa del Rey,Final,5/25/12,H,FC Barcelona,Athletic Bilbao,Win,CF,20,02:00:00,Right-footed shot,Andres Iniesta,253
Dec-13,LaLiga,1,8/19/12,H,FC Barcelona,Real Sociedad,Win,CF,10,02:01:00,Left-footed shot,Pedro,254
Dec-13,LaLiga,1,8/19/12,H,FC Barcelona,Real Sociedad,Win,CF,15,03:01:00,Left-footed shot,Cristian Tello,255
Dec-13,Supercopa,final,8/23/12,H,FC Barcelona,Real Madrid,Win,CF,60,02:01:00,Penalty,NA,256
Dec-13,LaLiga,2,8/26/12,A,FC Barcelona,CA Osasuna,Loss,CF,74,01:01:00,Left-footed shot,Alexis Sanchez,257
Dec-13,LaLiga,2,8/26/12,A,FC Barcelona,CA Osasuna,Loss,CF,79,01:02:00,Left-footed shot,Jordi Alba,258
Dec-13,Supercopa,final,8/29/12,A,FC Barcelona,Real Madrid,Loss,CF,45,02:01:00,Direct free kick,NA,259
Dec-13,LaLiga,4,9/15/12,A,FC Barcelona,Getafe CF,Loss,CF,74,00:02:00,Penalty,NA,260
Dec-13,LaLiga,4,9/15/12,A,FC Barcelona,Getafe CF,Loss,CF,78,00:03:00,Left-footed shot,Pedro,261
Dec-13,UEFA Champions League,Group Stage,9/19/12,H,FC Barcelona,Spartak Moscow,Win,CF,71,02:02:00,Left-footed shot,Cristian Tello,262
Dec-13,UEFA Champions League,Group Stage,9/19/12,H,FC Barcelona,Spartak Moscow,Win,CF,80,03:02:00,Header,Alexis Sanchez,263
Dec-13,LaLiga,7,10-07-2012,H,FC Barcelona,Real Madrid,Win,CF,31,01:01:00,Left-footed shot,NA,264
Dec-13,LaLiga,7,10-07-2012,H,FC Barcelona,Real Madrid,Win,CF,60,02:01:00,Direct free kick,NA,265
Dec-13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruaa,Loss,CF,17,00:03:00,Left-footed shot,Cesc Fabregas,266
Dec-13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruaa,Loss,CF,43,02:04:00,Left-footed shot,Cesc Fabregas,267
Dec-13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruaa,Loss,CF,76,03:05:00,Left-footed shot,Xavi,268
Dec-13,LaLiga,9,10/27/12,A,FC Barcelona,Rayo Vallecano,Loss,CF,48,00:02:00,Left-footed shot,Marta Montoya,269
Dec-13,LaLiga,9,10/27/12,A,FC Barcelona,Rayo Vallecano,Loss,CF,89,00:05:00,Right-footed shot,Cesc Fabregas,270
Dec-13,UEFA Champions League,Group Stage,11-07-2012,A,FC Barcelona,Celtic FC,Loss,CF,90+1,02:01:00,Tap-in,NA,271
Dec-13,LaLiga,11,11-11-2012,A,FC Barcelona,RCD Mallorca,Loss,CF,43,00:02:00,Left-footed shot,Sergio Busquets,272
Dec-13,LaLiga,11,11-11-2012,A,FC Barcelona,RCD Mallorca,Loss,CF,70,02:04:00,Left-footed shot,Alexis Sanchez,273
Dec-13,LaLiga,12,11/17/12,H,FC Barcelona,Real Zaragoza,Win,CF,15,01:00:00,Left-footed shot,Jordi Alba,274
Dec-13,LaLiga,12,11/17/12,H,FC Barcelona,Real Zaragoza,Win,CF,60,03:01:00,Left-footed shot,Marta Montoya,275
Dec-13,UEFA Champions League,Group Stage,11/20/12,A,FC Barcelona,Spartak Moscow,Loss,CF,27,00:02:00,Right-footed shot,NA,276
Dec-13,UEFA Champions League,Group Stage,11/20/12,A,FC Barcelona,Spartak Moscow,Loss,CF,39,00:03:00,Left-footed shot,Pedro,277
Dec-13,LaLiga,13,11/25/12,A,FC Barcelona,Levante UD,Loss,CF,46,00:01:00,Left-footed shot,Andres Iniesta,278
Dec-13,LaLiga,13,11/25/12,A,FC Barcelona,Levante UD,Loss,CF,51,00:02:00,Left-footed shot,Andres Iniesta,279
Dec-13,LaLiga,14,12-01-2012,H,FC Barcelona,Athletic Bilbao,Win,CF,24,02:00:00,Left-footed shot,Xavi,280
Dec-13,LaLiga,14,12-01-2012,H,FC Barcelona,Athletic Bilbao,Win,CF,69,05:01:00,Right-footed shot,Pedro,281
Dec-13,LaLiga,15,12-09-2012,A,FC Barcelona,Real Betis Balompie,Loss,CF,16,00:01:00,Left-footed shot,Andres Iniesta,282
Dec-13,LaLiga,15,12-09-2012,A,FC Barcelona,Real Betis Balompie,Loss,CF,25,00:02:00,Left-footed shot,Andres Iniesta,283
Dec-13,Copa del Rey,last 16,12-12-2012,A,FC Barcelona,CÃ³rdoba CF,Loss,CF,10,00:01:00,Left-footed shot,David Villa,284
Dec-13,Copa del Rey,last 16,12-12-2012,A,FC Barcelona,CÃ³rdoba CF,Loss,CF,73,00:02:00,Left-footed shot,Alexis Sanchez,285
Dec-13,LaLiga,16,12/16/12,H,FC Barcelona,Atletico de Madrid,Win,CF,58,03:01:00,Left-footed shot,Alexis Sanchez,286
Dec-13,LaLiga,16,12/16/12,H,FC Barcelona,Atletico de Madrid,Win,CF,88,04:01:00,Left-footed shot,NA,287
Dec-13,LaLiga,17,12/22/12,A,FC Barcelona,Real Valladolid CF,Loss,CF,59,00:02:00,Left-footed shot,Xavi,288
Dec-13,LaLiga,18,01-06-2013,H,FC Barcelona,RCD Espanyol Barcelona,Win,CF,28,04:00:00,Penalty,NA,289
Dec-13,LaLiga,19,1/13/13,A,FC Barcelona,Malaga CF,Loss,CF,26,00:01:00,Right-footed shot,NA,290
Dec-13,Copa del Rey,Quarter-Finals,1/16/13,H,FC Barcelona,Malaga CF,Win,CF,29,01:01:00,Left-footed shot,NA,291
Dec-13,LaLiga,20,1/19/13,A,FC Barcelona,Real Sociedad,Loss,CF,6,00:01:00,Left-footed shot,Andres Iniesta,292
Dec-13,Copa del Rey,Quarter-Finals,1/24/13,A,FC Barcelona,Malaga CF,Loss,CF,79,02:04:00,Header,Dani Alves,293
Dec-13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,Win,CF,11,01:00:00,Right-footed shot,Xavi,294
Dec-13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,Win,CF,28,02:01:00,Penalty,NA,295
Dec-13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,Win,CF,56,04:01:00,Left-footed shot,David Villa,296
Dec-13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,Win,CF,58,05:01:00,Left-footed shot,Adriano,297
Dec-13,LaLiga,22,02-03-2013,A,FC Barcelona,Valencia CF,Loss,CF,39,01:01:00,Penalty,NA,298
Dec-13,LaLiga,23,02-10-2013,H,FC Barcelona,Getafe CF,Win,CF,13,02:00:00,Left-footed shot,Thiago,299
Dec-13,LaLiga,24,2/16/13,A,FC Barcelona,Granada CF,Loss,CF,49,01:01:00,Left-footed shot,NA,300
Dec-13,LaLiga,24,2/16/13,A,FC Barcelona,Granada CF,Loss,CF,72,01:02:00,Direct free kick,NA,301
Dec-13,LaLiga,25,2/23/13,H,FC Barcelona,Sevilla FC,Win,CF,60,02:01:00,Left-footed shot,Cristian Tello,302
Dec-13,LaLiga,26,03-02-2013,A,FC Barcelona,Real Madrid,Loss,CF,18,01:01:00,Left-footed shot,Dani Alves,303
Dec-13,LaLiga,27,03-09-2013,H,FC Barcelona,Deportivo de La Coruaa,Win,CF,88,02:00:00,Left-footed shot,Alexis Sanchez,304
Dec-13,UEFA Champions League,last 16,03-12-2013,H,FC Barcelona,AC Milan,Win,CF,5,01:00:00,Left-footed shot,Xavi,305
Dec-13,UEFA Champions League,last 16,03-12-2013,H,FC Barcelona,AC Milan,Win,CF,40,02:00:00,Left-footed shot,Andres Iniesta,306
Dec-13,LaLiga,28,3/17/13,H,FC Barcelona,Rayo Vallecano,Win,CF,40,02:00:00,Left-footed shot,David Villa,307
Dec-13,LaLiga,28,3/17/13,H,FC Barcelona,Rayo Vallecano,Win,CF,57,03:00:00,Left-footed shot,David Villa,308
Dec-13,LaLiga,29,3/30/13,A,FC Barcelona,Celta de Vigo,Loss,CF,73,01:02:00,Left-footed shot,Cristian Tello,309
Dec-13,UEFA Champions League,Quarter-Finals,04-02-2013,A,FC Barcelona,Paris Saint-Germain,Loss,CF,38,00:01:00,Left-footed shot,Dani Alves,310
Dec-13,LaLiga,33,4/27/13,A,FC Barcelona,Athletic Bilbao,Loss,CF,67,01:01:00,Left-footed shot,Thiago,311
Dec-13,LaLiga,34,05-05-2013,H,FC Barcelona,Real Betis Balompie,Win,CF,60,03:02:00,Direct free kick,NA,312
Dec-13,LaLiga,34,05-05-2013,H,FC Barcelona,Real Betis Balompie,Win,CF,71,04:02:00,Left-footed shot,Alexis Sanchez,313
13/14,LaLiga,1,8/18/13,H,FC Barcelona,Levante UD,Win,CF,13,02:00:00,Left-footed shot,Pedro,314
13/14,LaLiga,1,8/18/13,H,FC Barcelona,Levante UD,Win,CF,42,05:00:00,Penalty,NA,315
13/14,LaLiga,3,09-01-2013,A,FC Barcelona,Valencia CF,Loss,CF,11,00:01:00,Left-footed shot,Cesc Fabregas,316
13/14,LaLiga,3,09-01-2013,A,FC Barcelona,Valencia CF,Loss,CF,39,00:02:00,Right-footed shot,Cesc Fabregas,317
13/14,LaLiga,3,09-01-2013,A,FC Barcelona,Valencia CF,Loss,CF,41,00:03:00,Left-footed shot,Neymar,318
13/14,LaLiga,4,9/14/13,H,FC Barcelona,Sevilla FC,Win,CF,75,02:00:00,Left-footed shot,Neymar,319
13/14,UEFA Champions League,Group Stage,9/18/13,H,FC Barcelona,Ajax Amsterdam,Win,CF,22,01:00:00,Direct free kick,NA,320
13/14,UEFA Champions League,Group Stage,9/18/13,H,FC Barcelona,Ajax Amsterdam,Win,CF,55,02:00:00,Left-footed shot,Sergio Busquets,321
13/14,UEFA Champions League,Group Stage,9/18/13,H,FC Barcelona,Ajax Amsterdam,Win,CF,75,04:00:00,Left-footed shot,Xavi,322
13/14,LaLiga,6,9/24/13,H,FC Barcelona,Real Sociedad,Win,CF,8,02:00:00,Header,Neymar,323
13/14,LaLiga,7,9/28/13,A,FC Barcelona,UD Almera,Loss,CF,21,00:01:00,Left-footed shot,Pedro,324
13/14,UEFA Champions League,Group Stage,10/22/13,A,FC Barcelona,AC Milan,Loss,CF,23,01:01:00,Left-footed shot,Andres Iniesta,325
13/14,UEFA Champions League,Group Stage,11-06-2013,H,FC Barcelona,AC Milan,Win,CF,30,01:00:00,Penalty,NA,326
13/14,UEFA Champions League,Group Stage,11-06-2013,H,FC Barcelona,AC Milan,Win,CF,83,03:01:00,Left-footed shot,Cesc Fabregas,327
13/14,Copa del Rey,last 16,01-08-2014,H,FC Barcelona,Getafe CF,Win,CF,90,03:00:00,Left-footed shot,Marta Montoya,328
13/14,Copa del Rey,last 16,01-08-2014,H,FC Barcelona,Getafe CF,Win,CF,90+2,04:00:00,Left-footed shot,Alex Song,329
13/14,Copa del Rey,last 16,1/16/14,A,FC Barcelona,Getafe CF,Loss,CF,43,00:01:00,Right-footed shot,Cristian Tello,330
13/14,Copa del Rey,last 16,1/16/14,A,FC Barcelona,Getafe CF,Loss,CF,63,00:02:00,Left-footed shot,NA,331
13/14,LaLiga,22,02-01-2014,H,FC Barcelona,Valencia CF,Win,CF,54,02:02:00,Penalty,NA,332
13/14,LaLiga,23,02-09-2014,A,FC Barcelona,Sevilla FC,Loss,CF,44,01:02:00,Left-footed shot,Pedro,333
13/14,LaLiga,23,02-09-2014,A,FC Barcelona,Sevilla FC,Loss,CF,56,01:03:00,Left-footed shot,Andres Iniesta,334
13/14,Copa del Rey,Semi-Finals,02-12-2014,A,FC Barcelona,Real Sociedad,Loss,CF,26,00:01:00,Solo run,NA,335
13/14,LaLiga,24,2/15/14,H,FC Barcelona,Rayo Vallecano,Win,CF,36,02:00:00,Left-footed shot,Cesc Fabregas,336
13/14,LaLiga,24,2/15/14,H,FC Barcelona,Rayo Vallecano,Win,CF,68,05:00:00,Left-footed shot,Alexis Sanchez,337
13/14,UEFA Champions League,last 16,2/18/14,A,FC Barcelona,Manchester City,Loss,CF,54,00:01:00,Penalty,NA,338
13/14,LaLiga,25,2/22/14,A,FC Barcelona,Real Sociedad,Loss,CF,36,01:01:00,Left-footed shot,Marta Montoya,339
13/14,LaLiga,26,03-02-2014,H,FC Barcelona,UD Almera,Win,CF,24,02:00:00,Direct free kick,NA,340
13/14,UEFA Champions League,last 16,03-12-2014,H,FC Barcelona,Manchester City,Win,CF,67,01:00:00,Left-footed shot,NA,341
13/14,LaLiga,28,3/16/14,H,FC Barcelona,CA Osasuna,Win,CF,18,01:00:00,Left-footed shot,Alexis Sanchez,342
13/14,LaLiga,28,3/16/14,H,FC Barcelona,CA Osasuna,Win,CF,63,04:00:00,Left-footed shot,Andres Iniesta,343
13/14,LaLiga,28,3/16/14,H,FC Barcelona,CA Osasuna,Win,CF,88,06:00:00,Right-footed shot,Dani Alves,344
13/14,LaLiga,29,3/23/14,A,FC Barcelona,Real Madrid,Loss,CF,42,02:02:00,Left-footed shot,Neymar,345
13/14,LaLiga,29,3/23/14,A,FC Barcelona,Real Madrid,Loss,CF,65,03:03:00,Penalty,NA,346
13/14,LaLiga,29,3/23/14,A,FC Barcelona,Real Madrid,Loss,CF,84,03:04:00,Penalty,NA,347
13/14,LaLiga,30,3/26/14,H,FC Barcelona,Celta de Vigo,Win,CF,30,02:00:00,Right-footed shot,Andres Iniesta,348
13/14,LaLiga,31,3/29/14,A,FC Barcelona,RCD Espanyol Barcelona,Loss,CF,77,00:01:00,Penalty,NA,349
13/14,LaLiga,32,04-05-2014,H,FC Barcelona,Real Betis Balompie,Win,CF,15,01:00:00,Penalty,NA,350
13/14,LaLiga,32,04-05-2014,H,FC Barcelona,Real Betis Balompie,Win,CF,86,03:01:00,Penalty rebound,Antonio A05a,351
13/14,LaLiga,34,4/20/14,H,FC Barcelona,Athletic Bilbao,Win,CF,74,02:01:00,Direct free kick,NA,352
13/14,LaLiga,35,4/27/14,A,FC Barcelona,Villarreal CF,Loss,CF,83,02:03:00,Right-footed shot,Cesc Fabregas,353
13/14,LaLiga,36,05-03-2014,H,FC Barcelona,Getafe CF,Win,CF,23,01:00:00,Left-footed shot,Dani Alves,354
14/15,LaLiga,1,8/24/14,H,FC Barcelona,Elche CF,Win,CF,42,01:00:00,Left-footed shot,Sergio Busquets,355
14/15,LaLiga,1,8/24/14,H,FC Barcelona,Elche CF,Win,CF,64,03:00:00,Left-footed shot,NA,356
14/15,LaLiga,4,9/21/14,A,FC Barcelona,Levante UD,Loss,CF,77,00:05:00,Right-footed shot,NA,357
14/15,LaLiga,6,9/27/14,H,FC Barcelona,Granada CF,Win,CF,62,04:00:00,Header,Dani Alves,358
14/15,LaLiga,6,9/27/14,H,FC Barcelona,Granada CF,Win,CF,82,06:00:00,Right-footed shot,NA,359
14/15,UEFA Champions League,Group Stage,9/30/14,A,FC Barcelona,Paris Saint-Germain,Loss,RW,12,01:01:00,Left-footed shot,Andres Iniesta,360
14/15,LaLiga,7,10-04-2014,A,FC Barcelona,Rayo Vallecano,Loss,CF,35,00:01:00,Left-footed shot,Gerard Pique,361
14/15,LaLiga,8,10/18/14,H,FC Barcelona,SD Eibar,Win,CF,74,03:00:00,Left-footed shot,Neymar,362
14/15,UEFA Champions League,Group Stage,10/21/14,H,FC Barcelona,Ajax Amsterdam,Win,CF,24,02:00:00,Left-footed shot,Andres Iniesta,363
14/15,UEFA Champions League,Group Stage,11-05-2014,A,FC Barcelona,Ajax Amsterdam,Loss,RW,36,00:01:00,Header,Marc Bartra,364
14/15,UEFA Champions League,Group Stage,11-05-2014,A,FC Barcelona,Ajax Amsterdam,Loss,RW,76,00:02:00,Left-footed shot,Pedro,365
14/15,LaLiga,12,11/22/14,H,FC Barcelona,Sevilla FC,Win,RW,21,01:00:00,Direct free kick,NA,366
14/15,LaLiga,12,11/22/14,H,FC Barcelona,Sevilla FC,Win,RW,73,04:01:00,Tap-in,Neymar,367
14/15,LaLiga,12,11/22/14,H,FC Barcelona,Sevilla FC,Win,RW,78,05:01:00,Left-footed shot,Neymar,368
14/15,UEFA Champions League,Group Stage,11/25/14,A,FC Barcelona,APOEL Nicosia,Loss,CF,38,00:02:00,Right-footed shot,Rafinha,369
14/15,UEFA Champions League,Group Stage,11/25/14,A,FC Barcelona,APOEL Nicosia,Loss,CF,58,00:03:00,Right-footed shot,Dani Alves,370
14/15,UEFA Champions League,Group Stage,11/25/14,A,FC Barcelona,APOEL Nicosia,Loss,CF,87,00:04:00,Right-footed shot,Pedro,371
14/15,LaLiga,14,12-07-2014,H,FC Barcelona,RCD Espanyol Barcelona,Win,RW,45+1,01:01:00,Left-footed shot,Xavi,372
14/15,LaLiga,14,12-07-2014,H,FC Barcelona,RCD Espanyol Barcelona,Win,RW,50,02:01:00,Right-footed shot,Luis Suarez,373
14/15,LaLiga,14,12-07-2014,H,FC Barcelona,RCD Espanyol Barcelona,Win,RW,81,05:01:00,Right-footed shot,Pedro,374
14/15,UEFA Champions League,Group Stage,12-10-2014,H,FC Barcelona,Paris Saint-Germain,Win,AM,19,01:01:00,Right-footed shot,Luis Suarez,375
14/15,LaLiga,16,12/20/14,H,FC Barcelona,CÃ³rdoba CF,Win,RW,82,04:00:00,Right-footed shot,NA,376
14/15,LaLiga,16,12/20/14,H,FC Barcelona,CÃ³rdoba CF,Win,RW,90,05:00:00,Right-footed shot,NA,377
14/15,Copa del Rey,last 16,01-08-2015,H,FC Barcelona,Elche CF,Win,RW,45,03:00:00,Penalty,NA,378
14/15,LaLiga,18,01-11-2015,H,FC Barcelona,Atletico de Madrid,Win,RW,87,03:01:00,Left-footed shot,NA,379
14/15,LaLiga,19,1/18/15,A,FC Barcelona,Deportivo de La Coruaa,Loss,RW,11,00:01:00,Header,Ivan Rakitic,380
14/15,LaLiga,19,1/18/15,A,FC Barcelona,Deportivo de La Coruaa,Loss,RW,33,00:02:00,Left-footed shot,Luis Suarez,381
14/15,LaLiga,19,1/18/15,A,FC Barcelona,Deportivo de La Coruaa,Loss,RW,62,00:03:00,Left-footed shot,Ivan Rakitic,382
14/15,Copa del Rey,Quarter-Finals,1/21/15,H,FC Barcelona,Atletico de Madrid,Win,RW,85,01:00:00,Penalty rebound,NA,383
14/15,LaLiga,20,1/24/15,A,FC Barcelona,Elche CF,Loss,CF,55,00:02:00,Penalty,NA,384
14/15,LaLiga,20,1/24/15,A,FC Barcelona,Elche CF,Loss,CF,88,00:05:00,Left-footed shot,Marc Bartra,385
14/15,LaLiga,21,02-01-2015,H,FC Barcelona,Villarreal CF,Win,RW,55,03:02:00,Right-footed shot,Luis Suarez,386
14/15,LaLiga,22,02-08-2015,A,FC Barcelona,Athletic Bilbao,Loss,RW,15,00:01:00,Direct free kick,NA,387
14/15,Copa del Rey,Semi-Finals,02-11-2015,H,FC Barcelona,Villarreal CF,Win,RW,41,01:00:00,Left-footed shot,Luis Suarez,388
14/15,LaLiga,23,2/15/15,H,FC Barcelona,Levante UD,Win,CF,38,02:00:00,Right-footed shot,Marc Bartra,389
14/15,LaLiga,23,2/15/15,H,FC Barcelona,Levante UD,Win,CF,59,03:00:00,Right-footed shot,Pedro,390
14/15,LaLiga,23,2/15/15,H,FC Barcelona,Levante UD,Win,CF,65,04:00:00,Penalty,NA,391
14/15,LaLiga,25,2/28/15,A,FC Barcelona,Granada CF,Loss,RW,70,01:03:00,Right-footed shot,Luis Suarez,392
14/15,LaLiga,26,03-08-2015,H,FC Barcelona,Rayo Vallecano,Win,RW,56,03:00:00,Penalty,NA,393
14/15,LaLiga,26,03-08-2015,H,FC Barcelona,Rayo Vallecano,Win,RW,63,04:00:00,Tap-in,NA,394
14/15,LaLiga,26,03-08-2015,H,FC Barcelona,Rayo Vallecano,Win,RW,68,05:00:00,Left-footed shot,Pedro,395
14/15,LaLiga,27,3/14/15,A,FC Barcelona,SD Eibar,Loss,RW,31,00:01:00,Penalty,NA,396
14/15,LaLiga,27,3/14/15,A,FC Barcelona,SD Eibar,Loss,RW,55,00:02:00,Header,Ivan Rakitic,397
14/15,LaLiga,30,04-08-2015,H,FC Barcelona,UD Almera,Win,RW,33,01:00:00,Left-footed shot,Marc Bartra,398
14/15,LaLiga,31,04-11-2015,A,FC Barcelona,Sevilla FC,Loss,RW,15,00:01:00,Left-footed shot,Neymar,399
14/15,LaLiga,32,4/18/15,H,FC Barcelona,Valencia CF,Win,RW,90+4,02:00:00,Left-footed shot,NA,400
14/15,LaLiga,33,4/25/15,A,FC Barcelona,RCD Espanyol Barcelona,Loss,RW,25,00:02:00,Left-footed shot,Luis Suarez,401
14/15,LaLiga,34,4/28/15,H,FC Barcelona,Getafe CF,Win,RW,9,01:00:00,Penalty,NA,402
14/15,LaLiga,34,4/28/15,H,FC Barcelona,Getafe CF,Win,RW,47,06:00:00,Left-footed shot,Luis Suarez,403
14/15,LaLiga,35,05-02-2015,A,FC Barcelona,CÃ³rdoba CF,Loss,RW,47,00:03:00,Header,Dani Alves,404
14/15,LaLiga,35,05-02-2015,A,FC Barcelona,CÃ³rdoba CF,Loss,RW,80,00:06:00,Left-footed shot,Luis Suarez,405
14/15,UEFA Champions League,Semi-Finals,05-06-2015,H,FC Barcelona,Bayern Munich,Win,RW,77,01:00:00,Left-footed shot,Dani Alves,406
14/15,UEFA Champions League,Semi-Finals,05-06-2015,H,FC Barcelona,Bayern Munich,Win,RW,80,02:00:00,Right-footed shot,Ivan Rakitic,407
14/15,LaLiga,37,5/17/15,A,FC Barcelona,Atletico de Madrid,Loss,RW,65,00:01:00,Left-footed shot,Pedro,408
14/15,LaLiga,38,5/23/15,H,FC Barcelona,Deportivo de La Coruaa,Win,RW,5,01:00:00,Header,Rafinha,409
14/15,LaLiga,38,5/23/15,H,FC Barcelona,Deportivo de La Coruaa,Win,RW,59,02:00:00,Right-footed shot,Neymar,410
14/15,Copa del Rey,Final,5/30/15,A,FC Barcelona,Athletic Bilbao,Loss,RW,20,00:01:00,Solo run,NA,411
14/15,Copa del Rey,Final,5/30/15,A,FC Barcelona,Athletic Bilbao,Loss,RW,74,00:03:00,Left-footed shot,Dani Alves,412
15/16,UEFA Super Cup,Final,08-11-2015,H,FC Barcelona,Sevilla FC,Win,RW,7,01:01:00,Direct free kick,NA,413
15/16,UEFA Super Cup,Final,08-11-2015,H,FC Barcelona,Sevilla FC,Win,RW,16,02:01:00,Direct free kick,NA,414
15/16,Supercopa,final,8/17/15,H,FC Barcelona,Athletic Bilbao,Win,RW,43,01:00:00,Left-footed shot,Luis Suarez,415
15/16,LaLiga,3,09-12-2015,A,FC Barcelona,Atletico de Madrid,Loss,RW,77,01:02:00,Left-footed shot,Luis Suarez,416
15/16,LaLiga,4,9/20/15,H,FC Barcelona,Levante UD,Win,AM,61,03:00:00,Penalty,NA,417
15/16,LaLiga,4,9/20/15,H,FC Barcelona,Levante UD,Win,AM,90,04:01:00,Left-footed shot,Marc Bartra,418
15/16,UEFA Champions League,Group Stage,11/24/15,H,FC Barcelona,AS Roma,Win,RW,18,02:00:00,Left-footed shot,Luis Suarez,419
15/16,UEFA Champions League,Group Stage,11/24/15,H,FC Barcelona,AS Roma,Win,RW,60,05:00:00,Tap-in,NA,420
15/16,LaLiga,13,11/28/15,H,FC Barcelona,Real Sociedad,Win,RW,90+1,04:00:00,Left-footed shot,Neymar,421
15/16,UEFA Champions League,Group Stage,12-09-2015,A,FC Barcelona,Bayer 04 Leverkusen,Loss,CF,20,00:01:00,Right-footed shot,Ivan Rakitic,422
15/16,LaLiga,15,12-12-2015,H,FC Barcelona,Deportivo de La Coruaa,Win,RW,39,01:00:00,Direct free kick,NA,423
15/16,FIFA Club World Cup,Final,12/20/15,A,FC Barcelona,CA River Plate,Loss,RW,36,00:01:00,Left-footed shot,Neymar,424
15/16,LaLiga,17,12/30/15,H,FC Barcelona,Real Betis Balompie,Win,RW,33,02:00:00,Right-footed shot,Neymar,425
15/16,Copa del Rey,last 16,01-06-2016,H,FC Barcelona,RCD Espanyol Barcelona,Win,RW,13,01:01:00,Left-footed shot,Andres Iniesta,426
15/16,Copa del Rey,last 16,01-06-2016,H,FC Barcelona,RCD Espanyol Barcelona,Win,RW,44,02:01:00,Direct free kick,NA,427
15/16,LaLiga,19,01-09-2016,H,FC Barcelona,Granada CF,Win,RW,8,01:00:00,Left-footed shot,Arda Turan,428
15/16,LaLiga,19,01-09-2016,H,FC Barcelona,Granada CF,Win,RW,14,02:00:00,Left-footed shot,Luis Suarez,429
15/16,LaLiga,19,01-09-2016,H,FC Barcelona,Granada CF,Win,RW,58,03:00:00,Tap-in,NA,430
15/16,LaLiga,20,1/17/16,H,FC Barcelona,Athletic Bilbao,Win,RW,7,01:00:00,Penalty,NA,431
15/16,LaLiga,21,1/23/16,A,FC Barcelona,Malaga CF,Loss,RW,51,01:02:00,Left-footed shot,Adriano,432
15/16,LaLiga,22,1/30/16,H,FC Barcelona,Atletico de Madrid,Win,RW,30,01:01:00,Left-footed shot,Jordi Alba,433
15/16,Copa del Rey,Semi-Finals,02-03-2016,H,FC Barcelona,Valencia CF,Win,RW,29,03:00:00,Left-footed shot,Neymar,434
15/16,Copa del Rey,Semi-Finals,02-03-2016,H,FC Barcelona,Valencia CF,Win,RW,59,04:00:00,Left-footed shot,Luis Suarez,435
